room_id,room_name,schedule_id,date,start_time,end_time,activity_name,status
R001,RK A1,J00001,2026-03-01,800,1000,Kuliah Basis Data,Booked
R001,RK A1,J00002,2026-03-01,1000,1200,Kuliah Algoritma,Booked
R001,RK A1,J00003,2026-03-01,1300,1500,Praktikum Pemrograman,Booked
R001,RK A1,J00004,2026-03-01,1500,1700,Praktikum AI,Booked
R001,RK A1,J00005,2026-03-01,1700,1900,Diskusi Proyek,Booked
R002,RK A2,J00006,2026-03-01,800,1000,Kuliah Struktur Data,Booked
R002,RK A2,J00007,2026-03-01,1000,1200,Kuliah Basis Data,Booked
R002,RK A2,J00008,2026-03-01,1300,1500,Kuliah Algoritma,Booked
R002,RK A2,J00009,2026-03-01,1500,1700,Praktikum Pemrograman,Booked
R002,RK A2,J00010,2026-03-01,1700,1900,Praktikum AI,Booked
R003,RK B1,J00011,2026-03-01,800,1000,Diskusi Proyek,Booked
R003,RK B1,J00012,2026-03-01,1000,1200,Kuliah Struktur Data,Booked
R003,RK B1,J00013,2026-03-01,1300,1500,Kuliah Basis Data,Booked
R003,RK B1,J00014,2026-03-01,1500,1700,Kuliah Algoritma,Booked
R003,RK B1,J00015,2026-03-01,1700,1900,Praktikum Pemrograman,Booked
R004,RK B2,J00016,2026-03-01,800,1000,Praktikum AI,Booked
R004,RK B2,J00017,2026-03-01,1000,1200,Diskusi Proyek,Booked
R004,RK B2,J00018,2026-03-01,1300,1500,Kuliah Struktur Data,Booked
R004,RK B2,J00019,2026-03-01,1500,1700,Kuliah Basis Data,Booked
R004,RK B2,J00020,2026-03-01,1700,1900,Kuliah Algoritma,Booked
R005,Lab Komputer 1,J00021,2026-03-01,800,1000,Praktikum Pemrograman,Booked
R005,Lab Komputer 1,J00022,2026-03-01,1000,1200,Praktikum AI,Booked
R005,Lab Komputer 1,J00023,2026-03-01,1300,1500,Diskusi Proyek,Booked
R005,Lab Komputer 1,J00024,2026-03-01,1500,1700,Kuliah Struktur Data,Booked
R005,Lab Komputer 1,J00025,2026-03-01,1700,1900,Kuliah Basis Data,Booked
R006,Lab Komputer 2,J00026,2026-03-01,800,1000,Kuliah Algoritma,Booked
R006,Lab Komputer 2,J00027,2026-03-01,1000,1200,Praktikum Pemrograman,Booked
R006,Lab Komputer 2,J00028,2026-03-01,1300,1500,Praktikum AI,Booked
R006,Lab Komputer 2,J00029,2026-03-01,1500,1700,Diskusi Proyek,Booked
R006,Lab Komputer 2,J00030,2026-03-01,1700,1900,Kuliah Struktur Data,Booked
R001,RK A1,J00031,2026-03-02,800,1000,Kuliah Basis Data,Booked
R001,RK A1,J00032,2026-03-02,1000,1200,Kuliah Algoritma,Booked
R001,RK A1,J00033,2026-03-02,1300,1500,Praktikum Pemrograman,Booked
R001,RK A1,J00034,2026-03-02,1500,1700,Praktikum AI,Booked
R001,RK A1,J00035,2026-03-02,1700,1900,Diskusi Proyek,Booked
R002,RK A2,J00036,2026-03-02,800,1000,Kuliah Struktur Data,Booked
R002,RK A2,J00037,2026-03-02,1000,1200,Kuliah Basis Data,Booked
R002,RK A2,J00038,2026-03-02,1300,1500,Kuliah Algoritma,Booked
R002,RK A2,J00039,2026-03-02,1500,1700,Praktikum Pemrograman,Booked
R002,RK A2,J00040,2026-03-02,1700,1900,Praktikum AI,Booked
R003,RK B1,J00041,2026-03-02,800,1000,Diskusi Proyek,Booked
R003,RK B1,J00042,2026-03-02,1000,1200,Kuliah Struktur Data,Booked
R003,RK B1,J00043,2026-03-02,1300,1500,Kuliah Basis Data,Booked
R003,RK B1,J00044,2026-03-02,1500,1700,Kuliah Algoritma,Booked
R003,RK B1,J00045,2026-03-02,1700,1900,Praktikum Pemrograman,Booked
R004,RK B2,J00046,2026-03-02,800,1000,Praktikum AI,Booked
R004,RK B2,J00047,2026-03-02,1000,1200,Diskusi Proyek,Booked
R004,RK B2,J00048,2026-03-02,1300,1500,Kuliah Struktur Data,Booked
R004,RK B2,J00049,2026-03-02,1500,1700,Kuliah Basis Data,Booked
R004,RK B2,J00050,2026-03-02,1700,1900,Kuliah Algoritma,Booked
R005,Lab Komputer 1,J00051,2026-03-02,800,1000,Praktikum Pemrograman,Booked
R005,Lab Komputer 1,J00052,2026-03-02,1000,1200,Praktikum AI,Booked
R005,Lab Komputer 1,J00053,2026-03-02,1300,1500,Diskusi Proyek,Booked
R005,Lab Komputer 1,J00054,2026-03-02,1500,1700,Kuliah Struktur Data,Booked
R005,Lab Komputer 1,J00055,2026-03-02,1700,1900,Kuliah Basis Data,Booked
R006,Lab Komputer 2,J00056,2026-03-02,800,1000,Kuliah Algoritma,Booked
R006,Lab Komputer 2,J00057,2026-03-02,1000,1200,Praktikum Pemrograman,Booked
R006,Lab Komputer 2,J00058,2026-03-02,1300,1500,Praktikum AI,Booked
R006,Lab Komputer 2,J00059,2026-03-02,1500,1700,Diskusi Proyek,Booked
R006,Lab Komputer 2,J00060,2026-03-02,1700,1900,Kuliah Struktur Data,Booked
R001,RK A1,J00061,2026-03-03,800,1000,Kuliah Basis Data,Booked
R001,RK A1,J00062,2026-03-03,1000,1200,Kuliah Algoritma,Booked
R001,RK A1,J00063,2026-03-03,1300,1500,Praktikum Pemrograman,Booked
R001,RK A1,J00064,2026-03-03,1500,1700,Praktikum AI,Booked
R001,RK A1,J00065,2026-03-03,1700,1900,Diskusi Proyek,Booked
R002,RK A2,J00066,2026-03-03,800,1000,Kuliah Struktur Data,Booked
R002,RK A2,J00067,2026-03-03,1000,1200,Kuliah Basis Data,Booked
R002,RK A2,J00068,2026-03-03,1300,1500,Kuliah Algoritma,Booked
R002,RK A2,J00069,2026-03-03,1500,1700,Praktikum Pemrograman,Booked
R002,RK A2,J00070,2026-03-03,1700,1900,Praktikum AI,Booked
R003,RK B1,J00071,2026-03-03,800,1000,Diskusi Proyek,Booked
R003,RK B1,J00072,2026-03-03,1000,1200,Kuliah Struktur Data,Booked
R003,RK B1,J00073,2026-03-03,1300,1500,Kuliah Basis Data,Booked
R003,RK B1,J00074,2026-03-03,1500,1700,Kuliah Algoritma,Booked
R003,RK B1,J00075,2026-03-03,1700,1900,Praktikum Pemrograman,Booked
R004,RK B2,J00076,2026-03-03,800,1000,Praktikum AI,Booked
R004,RK B2,J00077,2026-03-03,1000,1200,Diskusi Proyek,Booked
R004,RK B2,J00078,2026-03-03,1300,1500,Kuliah Struktur Data,Booked
R004,RK B2,J00079,2026-03-03,1500,1700,Kuliah Basis Data,Booked
R004,RK B2,J00080,2026-03-03,1700,1900,Kuliah Algoritma,Booked
R005,Lab Komputer 1,J00081,2026-03-03,800,1000,Praktikum Pemrograman,Booked
R005,Lab Komputer 1,J00082,2026-03-03,1000,1200,Praktikum AI,Booked
R005,Lab Komputer 1,J00083,2026-03-03,1300,1500,Diskusi Proyek,Booked
R005,Lab Komputer 1,J00084,2026-03-03,1500,1700,Kuliah Struktur Data,Booked
R005,Lab Komputer 1,J00085,2026-03-03,1700,1900,Kuliah Basis Data,Booked
R006,Lab Komputer 2,J00086,2026-03-03,800,1000,Kuliah Algoritma,Booked
R006,Lab Komputer 2,J00087,2026-03-03,1000,1200,Praktikum Pemrograman,Booked
R006,Lab Komputer 2,J00088,2026-03-03,1300,1500,Praktikum AI,Booked
R006,Lab Komputer 2,J00089,2026-03-03,1500,1700,Diskusi Proyek,Booked
R006,Lab Komputer 2,J00090,2026-03-03,1700,1900,Kuliah Struktur Data,Booked
R001,RK A1,J00091,2026-03-04,800,1000,Kuliah Basis Data,Booked
R001,RK A1,J00092,2026-03-04,1000,1200,Kuliah Algoritma,Booked
R001,RK A1,J00093,2026-03-04,1300,1500,Praktikum Pemrograman,Booked
R001,RK A1,J00094,2026-03-04,1500,1700,Praktikum AI,Booked
R001,RK A1,J00095,2026-03-04,1700,1900,Diskusi Proyek,Booked
R002,RK A2,J00096,2026-03-04,800,1000,Kuliah Struktur Data,Booked
R002,RK A2,J00097,2026-03-04,1000,1200,Kuliah Basis Data,Booked
R002,RK A2,J00098,2026-03-04,1300,1500,Kuliah Algoritma,Booked
R002,RK A2,J00099,2026-03-04,1500,1700,Praktikum Pemrograman,Booked
R002,RK A2,J00100,2026-03-04,1700,1900,Praktikum AI,Booked
R003,RK B1,J00101,2026-03-04,800,1000,Diskusi Proyek,Booked
R003,RK B1,J00102,2026-03-04,1000,1200,Kuliah Struktur Data,Booked
R003,RK B1,J00103,2026-03-04,1300,1500,Kuliah Basis Data,Booked
R003,RK B1,J00104,2026-03-04,1500,1700,Kuliah Algoritma,Booked
R003,RK B1,J00105,2026-03-04,1700,1900,Praktikum Pemrograman,Booked
R004,RK B2,J00106,2026-03-04,800,1000,Praktikum AI,Booked
R004,RK B2,J00107,2026-03-04,1000,1200,Diskusi Proyek,Booked
R004,RK B2,J00108,2026-03-04,1300,1500,Kuliah Struktur Data,Booked
R004,RK B2,J00109,2026-03-04,1500,1700,Kuliah Basis Data,Booked
R004,RK B2,J00110,2026-03-04,1700,1900,Kuliah Algoritma,Booked
R005,Lab Komputer 1,J00111,2026-03-04,800,1000,Praktikum Pemrograman,Booked
R005,Lab Komputer 1,J00112,2026-03-04,1000,1200,Praktikum AI,Booked
R005,Lab Komputer 1,J00113,2026-03-04,1300,1500,Diskusi Proyek,Booked
R005,Lab Komputer 1,J00114,2026-03-04,1500,1700,Kuliah Struktur Data,Booked
R005,Lab Komputer 1,J00115,2026-03-04,1700,1900,Kuliah Basis Data,Booked
R006,Lab Komputer 2,J00116,2026-03-04,800,1000,Kuliah Algoritma,Booked
R006,Lab Komputer 2,J00117,2026-03-04,1000,1200,Praktikum Pemrograman,Booked
R006,Lab Komputer 2,J00118,2026-03-04,1300,1500,Praktikum AI,Booked
R006,Lab Komputer 2,J00119,2026-03-04,1500,1700,Diskusi Proyek,Booked
R006,Lab Komputer 2,J00120,2026-03-04,1700,1900,Kuliah Struktur Data,Booked
R001,RK A1,J00121,2026-03-05,800,1000,Kuliah Basis Data,Booked
R001,RK A1,J00122,2026-03-05,1000,1200,Kuliah Algoritma,Booked
R001,RK A1,J00123,2026-03-05,1300,1500,Praktikum Pemrograman,Booked
R001,RK A1,J00124,2026-03-05,1500,1700,Praktikum AI,Booked
R001,RK A1,J00125,2026-03-05,1700,1900,Diskusi Proyek,Booked
R002,RK A2,J00126,2026-03-05,800,1000,Kuliah Struktur Data,Booked
R002,RK A2,J00127,2026-03-05,1000,1200,Kuliah Basis Data,Booked
R002,RK A2,J00128,2026-03-05,1300,1500,Kuliah Algoritma,Booked
R002,RK A2,J00129,2026-03-05,1500,1700,Praktikum Pemrograman,Booked
R002,RK A2,J00130,2026-03-05,1700,1900,Praktikum AI,Booked
R003,RK B1,J00131,2026-03-05,800,1000,Diskusi Proyek,Booked
R003,RK B1,J00132,2026-03-05,1000,1200,Kuliah Struktur Data,Booked
R003,RK B1,J00133,2026-03-05,1300,1500,Kuliah Basis Data,Booked
R003,RK B1,J00134,2026-03-05,1500,1700,Kuliah Algoritma,Booked
R003,RK B1,J00135,2026-03-05,1700,1900,Praktikum Pemrograman,Booked
R004,RK B2,J00136,2026-03-05,800,1000,Praktikum AI,Booked
