room_id,room_name,schedule_id,date,start_time,end_time,activity_name,status
R004,RK B2,J00001,2026-06-22,1300,1500,Seminar,Booked
R005,Lab Komputer 1,J00002,2026-06-11,1000,1200,Kuliah Basis Data,Booked
R006,Lab Komputer 2,J00003,2026-03-13,1000,1200,Kuliah Basis Data,Booked
R003,RK B1,J00004,2026-04-01,1300,1500,Praktikum Pemrograman,Booked
R003,RK B1,J00005,2026-05-28,1500,1700,Diskusi Proyek,Booked
R001,RK A1,J00006,2026-03-26,800,1000,Diskusi Proyek,Booked
R002,RK A2,J00007,2026-03-02,1500,1700,Praktikum AI,Booked
R003,RK B1,J00008,2026-05-05,1000,1200,Praktikum Pemrograman,Booked
R006,Lab Komputer 2,J00009,2026-04-27,1300,1500,Kuliah Algoritma,Booked
R002,RK A2,J00010,2026-05-30,800,1000,Praktikum AI,Booked
R003,RK B1,J00011,2026-06-04,1300,1500,Seminar,Booked
R006,Lab Komputer 2,J00012,2026-05-10,1700,1900,Praktikum AI,Booked
R003,RK B1,J00013,2026-04-07,1500,1700,Seminar,Booked
R002,RK A2,J00014,2026-06-13,1300,1500,Kuliah Basis Data,Booked
R001,RK A1,J00015,2026-05-13,800,1000,Diskusi Proyek,Booked
R001,RK A1,J00016,2026-06-11,1500,1700,Kuliah Algoritma,Booked
R005,Lab Komputer 1,J00017,2026-03-02,1700,1900,Diskusi Proyek,Booked
R001,RK A1,J00018,2026-04-10,1700,1900,Kuliah Algoritma,Booked
R002,RK A2,J00019,2026-05-05,1000,1200,Diskusi Proyek,Booked
R004,RK B2,J00020,2026-03-01,800,1000,Seminar,Booked
R004,RK B2,J00021,2026-05-26,1700,1900,Praktikum AI,Booked
R002,RK A2,J00022,2026-06-05,1700,1900,Diskusi Proyek,Booked
R006,Lab Komputer 2,J00023,2026-06-09,1000,1200,Seminar,Booked
R003,RK B1,J00024,2026-03-29,1000,1200,Kuliah Basis Data,Booked
R006,Lab Komputer 2,J00025,2026-06-08,1500,1700,Kuliah Basis Data,Booked
R006,Lab Komputer 2,J00026,2026-05-12,1000,1200,Praktikum AI,Booked
R004,RK B2,J00027,2026-03-25,800,1000,Praktikum AI,Booked
R002,RK A2,J00028,2026-05-17,1000,1200,Diskusi Proyek,Booked
R005,Lab Komputer 1,J00029,2026-06-12,1700,1900,Praktikum AI,Booked
R003,RK B1,J00030,2026-06-24,1300,1500,Praktikum Pemrograman,Booked
R006,Lab Komputer 2,J00031,2026-04-16,1700,1900,Praktikum Pemrograman,Booked
R003,RK B1,J00032,2026-06-08,1500,1700,Kuliah Basis Data,Booked
R006,Lab Komputer 2,J00033,2026-05-10,800,1000,Diskusi Proyek,Booked
R006,Lab Komputer 2,J00034,2026-03-21,1500,1700,Diskusi Proyek,Booked
R003,RK B1,J00035,2026-05-28,1000,1200,Praktikum Pemrograman,Booked
R005,Lab Komputer 1,J00036,2026-04-27,800,1000,Praktikum Pemrograman,Booked
R005,Lab Komputer 1,J00037,2026-05-01,1300,1500,Praktikum Pemrograman,Booked
R005,Lab Komputer 1,J00038,2026-03-12,800,1000,Kuliah Basis Data,Booked
R002,RK A2,J00039,2026-06-28,1500,1700,Kuliah Basis Data,Booked
R003,RK B1,J00040,2026-04-27,800,1000,Seminar,Booked
R006,Lab Komputer 2,J00041,2026-03-25,1700,1900,Seminar,Booked
R006,Lab Komputer 2,J00042,2026-06-28,1700,1900,Diskusi Proyek,Booked
R005,Lab Komputer 1,J00043,2026-04-28,1300,1500,Praktikum AI,Booked
R001,RK A1,J00044,2026-06-29,1300,1500,Diskusi Proyek,Booked
R005,Lab Komputer 1,J00045,2026-06-27,1300,1500,Seminar,Booked
R003,RK B1,J00046,2026-03-22,1500,1700,Seminar,Booked
R003,RK B1,J00047,2026-04-13,1700,1900,Kuliah Basis Data,Booked
R002,RK A2,J00048,2026-04-05,1500,1700,Praktikum Pemrograman,Booked
R006,Lab Komputer 2,J00049,2026-03-21,1300,1500,Diskusi Proyek,Booked
R001,RK A1,J00050,2026-06-18,800,1000,Seminar,Booked
R006,Lab Komputer 2,J00051,2026-04-11,800,1000,Diskusi Proyek,Booked
R004,RK B2,J00052,2026-03-07,1500,1700,Praktikum Pemrograman,Booked
R006,Lab Komputer 2,J00053,2026-05-01,1500,1700,Diskusi Proyek,Booked
R006,Lab Komputer 2,J00054,2026-06-07,1700,1900,Seminar,Booked
R004,RK B2,J00055,2026-06-25,1000,1200,Diskusi Proyek,Booked
R003,RK B1,J00056,2026-06-05,1000,1200,Praktikum Pemrograman,Booked
R002,RK A2,J00057,2026-06-07,1500,1700,Kuliah Basis Data,Booked
R004,RK B2,J00058,2026-03-28,1700,1900,Kuliah Basis Data,Booked
R001,RK A1,J00059,2026-04-07,1300,1500,Diskusi Proyek,Booked
R003,RK B1,J00060,2026-05-27,1500,1700,Praktikum Pemrograman,Booked
R006,Lab Komputer 2,J00061,2026-04-02,1300,1500,Kuliah Algoritma,Booked
R001,RK A1,J00062,2026-06-07,1700,1900,Praktikum AI,Booked
R005,Lab Komputer 1,J00063,2026-04-11,1000,1200,Praktikum AI,Booked
R006,Lab Komputer 2,J00064,2026-06-29,1700,1900,Kuliah Algoritma,Booked
R003,RK B1,J00065,2026-06-13,1300,1500,Seminar,Booked
R001,RK A1,J00066,2026-06-13,1700,1900,Kuliah Basis Data,Booked
R001,RK A1,J00067,2026-03-26,1500,1700,Praktikum Pemrograman,Booked
R006,Lab Komputer 2,J00068,2026-04-12,1700,1900,Diskusi Proyek,Booked
R003,RK B1,J00069,2026-03-18,1000,1200,Kuliah Basis Data,Booked
R005,Lab Komputer 1,J00070,2026-03-29,1300,1500,Praktikum Pemrograman,Booked
R001,RK A1,J00071,2026-03-06,1500,1700,Praktikum Pemrograman,Booked
R004,RK B2,J00072,2026-03-25,1700,1900,Praktikum Pemrograman,Booked
R001,RK A1,J00073,2026-04-12,1300,1500,Seminar,Booked
R002,RK A2,J00074,2026-03-16,1000,1200,Praktikum AI,Booked
R002,RK A2,J00075,2026-04-05,1000,1200,Kuliah Basis Data,Booked
R003,RK B1,J00076,2026-05-13,1700,1900,Kuliah Algoritma,Booked
R004,RK B2,J00077,2026-04-08,1700,1900,Seminar,Booked
R006,Lab Komputer 2,J00078,2026-06-01,1300,1500,Diskusi Proyek,Booked
R002,RK A2,J00079,2026-05-21,1000,1200,Kuliah Basis Data,Booked
R004,RK B2,J00080,2026-04-17,1000,1200,Kuliah Algoritma,Booked
R006,Lab Komputer 2,J00081,2026-05-30,1500,1700,Praktikum Pemrograman,Booked
R006,Lab Komputer 2,J00082,2026-04-13,1500,1700,Praktikum Pemrograman,Booked
R003,RK B1,J00083,2026-06-03,1300,1500,Praktikum Pemrograman,Booked
R004,RK B2,J00084,2026-03-15,1500,1700,Diskusi Proyek,Booked
R002,RK A2,J00085,2026-05-22,1300,1500,Kuliah Algoritma,Booked
R003,RK B1,J00086,2026-06-05,800,1000,Praktikum AI,Booked
R001,RK A1,J00087,2026-05-31,1500,1700,Diskusi Proyek,Booked
R004,RK B2,J00088,2026-06-07,1700,1900,Diskusi Proyek,Booked
R005,Lab Komputer 1,J00089,2026-06-01,1300,1500,Seminar,Booked
R001,RK A1,J00090,2026-03-20,1700,1900,Praktikum AI,Booked
R005,Lab Komputer 1,J00091,2026-03-23,800,1000,Seminar,Booked
R003,RK B1,J00092,2026-05-20,800,1000,Diskusi Proyek,Booked
R004,RK B2,J00093,2026-03-11,1300,1500,Kuliah Basis Data,Booked
R005,Lab Komputer 1,J00094,2026-04-27,1000,1200,Kuliah Basis Data,Booked
R004,RK B2,J00095,2026-03-31,1300,1500,Kuliah Basis Data,Booked
R001,RK A1,J00096,2026-03-28,1700,1900,Seminar,Booked
R003,RK B1,J00097,2026-03-20,1700,1900,Seminar,Booked
R006,Lab Komputer 2,J00098,2026-06-22,1300,1500,Praktikum AI,Booked
R006,Lab Komputer 2,J00099,2026-05-16,1000,1200,Praktikum AI,Booked
R003,RK B1,J00100,2026-04-17,1500,1700,Kuliah Basis Data,Booked
R003,RK B1,J00101,2026-04-23,1300,1500,Diskusi Proyek,Booked
R003,RK B1,J00102,2026-04-24,1500,1700,Praktikum Pemrograman,Booked
R006,Lab Komputer 2,J00103,2026-06-01,1700,1900,Praktikum AI,Booked
R003,RK B1,J00104,2026-06-29,1500,1700,Praktikum Pemrograman,Booked
R002,RK A2,J00105,2026-04-23,1300,1500,Praktikum Pemrograman,Booked
R001,RK A1,J00106,2026-05-16,1500,1700,Seminar,Booked
R004,RK B2,J00107,2026-06-07,1300,1500,Kuliah Basis Data,Booked
R003,RK B1,J00108,2026-05-03,800,1000,Seminar,Booked
R003,RK B1,J00109,2026-04-18,1700,1900,Praktikum Pemrograman,Booked
R004,RK B2,J00110,2026-03-22,1500,1700,Praktikum AI,Booked
R006,Lab Komputer 2,J00111,2026-04-24,1300,1500,Praktikum Pemrograman,Booked
R003,RK B1,J00112,2026-05-19,1300,1500,Praktikum AI,Booked
R005,Lab Komputer 1,J00113,2026-04-25,1000,1200,Praktikum Pemrograman,Booked
R002,RK A2,J00114,2026-03-03,1700,1900,Diskusi Proyek,Booked
R001,RK A1,J00115,2026-04-03,1500,1700,Diskusi Proyek,Booked
R001,RK A1,J00116,2026-04-18,1500,1700,Diskusi Proyek,Booked
R006,Lab Komputer 2,J00117,2026-03-29,800,1000,Praktikum AI,Booked
R001,RK A1,J00118,2026-05-03,1000,1200,Praktikum Pemrograman,Booked
R003,RK B1,J00119,2026-04-03,1300,1500,Kuliah Algoritma,Booked
R006,Lab Komputer 2,J00120,2026-04-20,1700,1900,Kuliah Algoritma,Booked
